"Year","Country","Region","Hospital Name","Province","ID Type of Hospital","Description Type of Hospital","Type of beds","Total Hospital beds standard","Total Private Hospital beds","Total Daycare Hospital beds","Total Surgery Hospital beds","Total Hospital beds"
2010,"Italy","Piemonte","Presidio Sanitario Gradenigo","Torino",8.0,"Istituto Qualificato Presidio Della U.S.L.","Acuti",136,0,18,25,179
2010,"Italy","Piemonte","Presidio Sanitario Gradenigo","Torino",8.0,"Istituto Qualificato Presidio Della U.S.L.","Riabilitazione",14,0,0,0,14
2010,"Italy","Piemonte","Presidio Sanitario Ospedale Cottolengo","Torino",8.0,"Istituto Qualificato Presidio Della U.S.L.","Acuti",123,0,36,0,159
2010,"Italy","Piemonte","Presidio Sanitario Ospedale Cottolengo","Torino",8.0,"Istituto Qualificato Presidio Della U.S.L.","Lungodegenza",21,0,0,0,21
2010,"Italy","Piemonte","Presidio Sanitario Ospedale Cottolengo","Torino",8.0,"Istituto Qualificato Presidio Della U.S.L.","Riabilitazione",23,0,0,0,23
2010,"Italy","Piemonte","Presidio Major","Torino",8.0,"Istituto Qualificato Presidio Della U.S.L.","Riabilitazione",80,0,0,0,80
2010,"Italy","Piemonte","Ospedali Riuniti Pinerolo","Pinerolo",1.0,"Ospedale A Gestione Diretta","Acuti",264,0,19,20,303
2010,"Italy","Piemonte","Ospedali Riuniti Pinerolo","Pinerolo",1.0,"Ospedale A Gestione Diretta","Lungodegenza",52,0,0,0,52
2010,"Italy","Piemonte","Ospedali Riuniti Pinerolo","Pinerolo",1.0,"Ospedale A Gestione Diretta","Riabilitazione",34,0,0,0,34
2010,"Italy","Piemonte","Ospedali Riuniti Rivoli","Rivoli",1.0,"Ospedale A Gestione Diretta","Acuti",380,0,16,33,429
2010,"Italy","Piemonte","Ospedali Riuniti Rivoli","Rivoli",1.0,"Ospedale A Gestione Diretta","Lungodegenza",39,0,0,0,39
2010,"Italy","Piemonte","Casa Di Cura Ville Augusta - S.R.L.","Bruino",5.1,"Casa Di Cura Privata Accreditata","Acuti",104,0,0,0,104
2010,"Italy","Piemonte","Casa Di Cura Villa Patrizia - S.R.L.","Piossasco",5.1,"Casa Di Cura Privata Accreditata","Acuti",50,0,0,0,50
2010,"Italy","Piemonte","Casa Di Cura Villa Serena - S.P.A.","Piossasco",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",20,0,0,0,20
2010,"Italy","Piemonte","Casa Di Cura Villa Serena - S.P.A.","Piossasco",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",120,0,0,0,120
2010,"Italy","Piemonte","Villa Papa Giovanni Xxiii","Pianezza",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",145,0,0,0,145
2010,"Italy","Piemonte","Casa Di Cura Villa Iris Srl","Pianezza",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",102,0,0,0,102
2010,"Italy","Piemonte","Casa Di Cura Villa Iris Srl","Pianezza",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",49,0,0,0,49
2010,"Italy","Piemonte","Casa Di Cura Madonna Dei Boschi","Buttigliera Alta",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",55,0,0,0,55
2010,"Italy","Piemonte","Ospedale Civico Chivasso","Chivasso",1.0,"Ospedale A Gestione Diretta","Acuti",187,0,15,12,214
2010,"Italy","Piemonte","Presidi Osped. Riuniti A.S.L. 6 Cirie'","Cirie'",1.0,"Ospedale A Gestione Diretta","Acuti",260,0,27,15,302
2010,"Italy","Piemonte","Presidi Osped. Riuniti A.S.L. 6 Cirie'","Cirie'",1.0,"Ospedale A Gestione Diretta","Lungodegenza",25,0,0,0,25
2010,"Italy","Piemonte","Presidi Osped. Riuniti A.S.L. 6 Cirie'","Cirie'",1.0,"Ospedale A Gestione Diretta","Riabilitazione",40,0,0,0,40
2010,"Italy","Piemonte","Ospedali Riuniti Del Canavese","Ivrea",1.0,"Ospedale A Gestione Diretta","Acuti",302,0,32,18,352
2010,"Italy","Piemonte","Ospedali Riuniti Del Canavese","Ivrea",1.0,"Ospedale A Gestione Diretta","Lungodegenza",129,0,0,0,129
2010,"Italy","Piemonte","Ospedali Riuniti Del Canavese","Ivrea",1.0,"Ospedale A Gestione Diretta","Riabilitazione",75,0,0,0,75
2010,"Italy","Piemonte","Policlinico Di Monza Spa","Ivrea",5.1,"Casa Di Cura Privata Accreditata","Acuti",48,0,0,0,48
2010,"Italy","Piemonte","Policlinico Di Monza Spa","Ivrea",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",18,0,0,0,18
2010,"Italy","Piemonte","Istituto Suore S.Giuseppe Di Susa","San Maurizio Canavese",5.1,"Casa Di Cura Privata Accreditata","Acuti",117,0,0,0,117
2010,"Italy","Piemonte","La Bertalazona Casa Di Cura","San Maurizio Canavese",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",36,0,0,0,36
2010,"Italy","Piemonte","Santa Croce Srl","Lanzo Torinese",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",62,0,0,0,62
2010,"Italy","Piemonte","Santa Croce Srl","Lanzo Torinese",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",45,0,0,0,45
2010,"Italy","Piemonte","Villa Grazia Srl","San Carlo Canavese",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",81,0,0,0,81
2010,"Italy","Piemonte","Villa Grazia Srl","San Carlo Canavese",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",81,0,0,0,81
2010,"Italy","Piemonte","Beata Vergine Consolata","San Maurizio Canavese",8.0,"Istituto Qualificato Presidio Della U.S.L.","Lungodegenza",40,0,0,0,40
2010,"Italy","Piemonte","Beata Vergine Consolata","San Maurizio Canavese",8.0,"Istituto Qualificato Presidio Della U.S.L.","Riabilitazione",150,0,10,0,160
2010,"Italy","Piemonte","Ospedali Riuniti A.S.L. 8","Chieri",1.0,"Ospedale A Gestione Diretta","Acuti",376,0,28,33,437
2010,"Italy","Piemonte","Ospedali Riuniti A.S.L. 8","Chieri",1.0,"Ospedale A Gestione Diretta","Lungodegenza",16,0,0,0,16
2010,"Italy","Piemonte","Ospedali Riuniti A.S.L. 8","Chieri",1.0,"Ospedale A Gestione Diretta","Riabilitazione",7,0,7,0,14
2010,"Italy","Piemonte","Casa Di Cura E Riposo S. Luca S.P.A.","Pecetto Torinese",5.1,"Casa Di Cura Privata Accreditata","Acuti",54,0,0,16,70
2010,"Italy","Piemonte","Casa Di Cura E Riposo S. Luca S.P.A.","Pecetto Torinese",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",9,0,0,0,9
2010,"Italy","Piemonte","Casa Di Cura Villa Di Salute Spa","Trofarello",5.1,"Casa Di Cura Privata Accreditata","Acuti",65,0,0,0,65
2010,"Italy","Piemonte","Adriana S.R.L.","Arignano",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",56,0,0,0,56
2010,"Italy","Piemonte","Adriana S.R.L.","Arignano",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",60,0,0,0,60
2010,"Italy","Piemonte","L.I.S.A. S.R.L.","Carmagnola",5.1,"Casa Di Cura Privata Accreditata","Acuti",0,0,0,2,2
2010,"Italy","Piemonte","Fondazione Del Piemonte Per L'Oncologia","Candiolo",8.0,"Istituto Qualificato Presidio Della U.S.L.","Acuti",48,0,25,5,78
2010,"Italy","Piemonte","Ospedale Unico Del Vercellese","Vercelli",1.0,"Ospedale A Gestione Diretta","Acuti",317,0,28,20,365
2010,"Italy","Piemonte","Ospedale Unico Del Vercellese","Vercelli",1.0,"Ospedale A Gestione Diretta","Lungodegenza",24,0,0,0,24
2010,"Italy","Piemonte","Ospedale Unico Del Vercellese","Vercelli",1.0,"Ospedale A Gestione Diretta","Riabilitazione",10,0,0,0,10
2010,"Italy","Piemonte","Policlinico Di Monza Spa","Vercelli",5.1,"Casa Di Cura Privata Accreditata","Acuti",72,0,0,0,72
2010,"Italy","Piemonte","Policlinico Di Monza Spa","Vercelli",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",18,0,0,0,18
2010,"Italy","Piemonte","Casa Di Cura Centro R.R.F. Mons. Luigi N","Moncrivello",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",90,0,0,0,90
2010,"Italy","Piemonte","Osp.Degli Infermi Di Biella","Biella",1.0,"Ospedale A Gestione Diretta","Acuti",376,0,37,12,425
2010,"Italy","Piemonte","Osp.Degli Infermi Di Biella","Biella",1.0,"Ospedale A Gestione Diretta","Lungodegenza",20,0,0,0,20
2010,"Italy","Piemonte","Osp.Degli Infermi Di Biella","Biella",1.0,"Ospedale A Gestione Diretta","Riabilitazione",16,0,1,0,17
2010,"Italy","Piemonte","Casa Di Cura San Giorgio Srl","Viverone",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",12,0,0,0,12
2010,"Italy","Piemonte","Casa Di Cura San Giorgio Srl","Viverone",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",28,0,0,0,28
2010,"Italy","Piemonte","La Vialarda Spa","Biella",5.1,"Casa Di Cura Privata Accreditata","Acuti",45,0,0,0,45
2010,"Italy","Piemonte","La Vialarda Spa","Biella",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",10,0,0,0,10
2010,"Italy","Piemonte","La Vialarda Spa","Biella",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",10,0,0,0,10
2010,"Italy","Piemonte","Ospedali Riuniti Asl 13 Novara","Borgomanero",1.0,"Ospedale A Gestione Diretta","Acuti",244,0,10,38,292
2010,"Italy","Piemonte","Ospedali Riuniti Asl 13 Novara","Borgomanero",1.0,"Ospedale A Gestione Diretta","Lungodegenza",3,0,0,0,3
2010,"Italy","Piemonte","Ospedali Riuniti Asl 13 Novara","Borgomanero",1.0,"Ospedale A Gestione Diretta","Riabilitazione",24,0,1,0,25
2010,"Italy","Piemonte","Casa Di Cura S.Gaudenzio","Novara",5.1,"Casa Di Cura Privata Accreditata","Acuti",64,0,0,0,64
2010,"Italy","Piemonte","Casa Di Cura S.Carlo Di Arona","Arona",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",45,0,0,0,45
2010,"Italy","Piemonte","Casa Di Cura I Cedri","Fara Novarese",5.1,"Casa Di Cura Privata Accreditata","Acuti",26,0,0,0,26
2010,"Italy","Piemonte","Casa Di Cura I Cedri","Fara Novarese",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",20,0,0,0,20
2010,"Italy","Piemonte","Ospedale Unico Plurisede","Omegna",1.0,"Ospedale A Gestione Diretta","Acuti",263,0,26,16,305
2010,"Italy","Piemonte","Ospedale Unico Plurisede","Omegna",1.0,"Ospedale A Gestione Diretta","Riabilitazione",18,0,0,0,18
2010,"Italy","Piemonte","Casa Di Cura L'Eremo Di Miazzina","Cambiasca",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",108,0,0,0,108
2010,"Italy","Piemonte","Casa Di Cura L'Eremo Di Miazzina","Cambiasca",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",135,0,0,0,135
2010,"Italy","Piemonte","Centro Ortopedico Di Quadrante","Omegna",8.0,"Istituto Qualificato Presidio Della U.S.L.","Acuti",52,0,3,10,65
2010,"Italy","Piemonte","Centro Ortopedico Di Quadrante","Omegna",8.0,"Istituto Qualificato Presidio Della U.S.L.","Riabilitazione",25,0,0,0,25
2010,"Italy","Piemonte","Presidio Unificato Fossano-Caraglio Cn1","Fossano",1.0,"Ospedale A Gestione Diretta","Acuti",19,0,2,10,31
2010,"Italy","Piemonte","Presidio Unificato Fossano-Caraglio Cn1","Fossano",1.0,"Ospedale A Gestione Diretta","Lungodegenza",40,0,0,0,40
2010,"Italy","Piemonte","Presidio Unificato Fossano-Caraglio Cn1","Fossano",1.0,"Ospedale A Gestione Diretta","Riabilitazione",60,0,2,0,62
2010,"Italy","Piemonte","Presidio Unificato Mondovi-Ceva Cn1","Mondovi'",1.0,"Ospedale A Gestione Diretta","Acuti",242,0,14,11,267
2010,"Italy","Piemonte","Presidio Unificato Mondovi-Ceva Cn1","Mondovi'",1.0,"Ospedale A Gestione Diretta","Riabilitazione",30,0,2,0,32
2010,"Italy","Piemonte","Presidio Unificato Savigliano-Saluzzo Cn","Savigliano",1.0,"Ospedale A Gestione Diretta","Acuti",391,0,17,16,424
2010,"Italy","Piemonte","Presidio Unificato Savigliano-Saluzzo Cn","Savigliano",1.0,"Ospedale A Gestione Diretta","Lungodegenza",12,0,0,0,12
2010,"Italy","Piemonte","Istituto Climatico Di Robilante Del Dott","Robilante",5.1,"Casa Di Cura Privata Accreditata","Acuti",28,0,0,0,28
2010,"Italy","Piemonte","Istituto Climatico Di Robilante Del Dott","Robilante",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",90,0,0,0,90
2010,"Italy","Piemonte","Istituto Climatico Di Robilante Del Dott","Robilante",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",40,0,0,0,40
2010,"Italy","Piemonte","Casa Di Cura Monteserrat S.R.L","Borgo San Dalmazzo",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",70,0,0,0,70
2010,"Italy","Piemonte","Fondazione Orizzonte Speranza - Onlus","Boves",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",60,0,0,0,60
2010,"Italy","Piemonte","Osp. S.Lazzaro-Alba E S.Sprito Bra","Alba",1.0,"Ospedale A Gestione Diretta","Acuti",291,0,45,34,370
2010,"Italy","Piemonte","Osp. S.Lazzaro-Alba E S.Sprito Bra","Alba",1.0,"Ospedale A Gestione Diretta","Lungodegenza",38,0,0,0,38
2010,"Italy","Piemonte","Osp. S.Lazzaro-Alba E S.Sprito Bra","Alba",1.0,"Ospedale A Gestione Diretta","Riabilitazione",0,0,2,0,2
2010,"Italy","Piemonte","Casa Di Cura San Michele","Bra",5.1,"Casa Di Cura Privata Accreditata","Acuti",9,0,0,0,9
2010,"Italy","Piemonte","Casa Di Cura San Michele","Bra",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",13,0,0,0,13
2010,"Italy","Piemonte","Casa Di Cura San Michele","Bra",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",50,0,0,0,50
2010,"Italy","Piemonte","Casa Di Cura Citta' Di Bra","Bra",5.1,"Casa Di Cura Privata Accreditata","Acuti",68,0,0,11,79
2010,"Italy","Piemonte","Casa Di Cura Citta' Di Bra","Bra",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",11,0,0,0,11
2010,"Italy","Piemonte","Casa Di Cura Citta' Di Bra","Bra",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",25,0,0,0,25
2010,"Italy","Piemonte","Casa Di Cura ""La Residenza""","Rodello",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",100,0,0,0,100
2010,"Italy","Piemonte","Ospedali Riuniti Asl At","Asti",1.0,"Ospedale A Gestione Diretta","Acuti",409,0,40,46,495
2010,"Italy","Piemonte","Ospedali Riuniti Asl At","Asti",1.0,"Ospedale A Gestione Diretta","Lungodegenza",34,0,0,0,34
2010,"Italy","Piemonte","Ospedali Riuniti Asl At","Asti",1.0,"Ospedale A Gestione Diretta","Riabilitazione",35,0,0,0,35
2010,"Italy","Piemonte","Casa Di Cura S. Anna Spa","Asti",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",53,0,0,0,53
2010,"Italy","Piemonte","Centro Chirurgico Guttuari","Asti",5.1,"Casa Di Cura Privata Accreditata","Acuti",0,0,2,0,2
2010,"Italy","Piemonte","Ospedali Riuniti Asl Al","Casale Monferrato",1.0,"Ospedale A Gestione Diretta","Acuti",707,0,64,73,844
2010,"Italy","Piemonte","Ospedali Riuniti Asl Al","Casale Monferrato",1.0,"Ospedale A Gestione Diretta","Lungodegenza",32,0,0,0,32
2010,"Italy","Piemonte","Ospedali Riuniti Asl Al","Casale Monferrato",1.0,"Ospedale A Gestione Diretta","Riabilitazione",51,0,2,0,53
2010,"Italy","Piemonte","Casa Di Cura Salus Srl","Alessandria",5.1,"Casa Di Cura Privata Accreditata","Acuti",50,0,10,0,60
2010,"Italy","Piemonte","Casa Di Cura Salus Srl","Alessandria",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",86,0,0,0,86
2010,"Italy","Piemonte","Casa Di Cura Villa Igea","Acqui Terme",5.1,"Casa Di Cura Privata Accreditata","Acuti",30,0,0,12,42
2010,"Italy","Piemonte","Casa Di Cura Villa Igea","Acqui Terme",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",33,0,0,0,33
2010,"Italy","Piemonte","Casa Di Cura Sant'Anna","Casale Monferrato",5.1,"Casa Di Cura Privata Accreditata","Acuti",53,0,0,7,60
2010,"Italy","Piemonte","Casa Di Cura Sant'Anna","Casale Monferrato",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",20,0,0,0,20
2010,"Italy","Piemonte","Casa Di Cura Citta' Di Alessandria","Alessandria",5.1,"Casa Di Cura Privata Accreditata","Acuti",64,0,0,0,64
2010,"Italy","Piemonte","Azienda Osped.S.Giovanni Battista Di Tor","Torino",2.2,"Azienda Ospedaliera Integrata Con L'Universit�","Acuti",1147,0,139,49,1335
2010,"Italy","Piemonte","C.T.O.-Maria Adelaide","Torino",0.0,"Azienda Ospedaliera","Acuti",305,0,11,20,336
2010,"Italy","Piemonte","C.T.O.-Maria Adelaide","Torino",0.0,"Azienda Ospedaliera","Riabilitazione",74,0,10,0,84
2010,"Italy","Piemonte","Azienda Ospedaliera O.I.R.M.S.-Sant'Anna","Torino",0.0,"Azienda Ospedaliera","Acuti",563,0,92,34,689
2010,"Italy","Piemonte","Azienda Ospedaliero Universitaria S.Luig","Orbassano",2.2,"Azienda Ospedaliera Integrata Con L'Universit�","Acuti",319,0,56,12,387
2010,"Italy","Piemonte","Azienda Ospedaliero Universitaria S.Luig","Orbassano",2.2,"Azienda Ospedaliera Integrata Con L'Universit�","Lungodegenza",12,0,0,0,12
2010,"Italy","Piemonte","Azienda Ospedaliero Universitaria S.Luig","Orbassano",2.2,"Azienda Ospedaliera Integrata Con L'Universit�","Riabilitazione",12,0,2,0,14
2010,"Italy","Piemonte","Azienda Osped. Novara E Galliate","Novara",2.2,"Azienda Ospedaliera Integrata Con L'Universit�","Acuti",587,0,66,55,708
2010,"Italy","Piemonte","Azienda Osped. Novara E Galliate","Novara",2.2,"Azienda Ospedaliera Integrata Con L'Universit�","Lungodegenza",10,0,9,0,19
2010,"Italy","Piemonte","Azienda Osped. Novara E Galliate","Novara",2.2,"Azienda Ospedaliera Integrata Con L'Universit�","Riabilitazione",38,0,11,0,49
2010,"Italy","Piemonte","Az. Ospedal. S. Croce E Carle","Cuneo",0.0,"Azienda Ospedaliera","Acuti",634,0,42,23,699
2010,"Italy","Piemonte","Az. Ospedal. S. Croce E Carle","Cuneo",0.0,"Azienda Ospedaliera","Lungodegenza",13,0,0,0,13
2010,"Italy","Piemonte","Az. Ss.Antonio E Biagio E C.Arrigo","Alessandria",0.0,"Azienda Ospedaliera","Acuti",541,0,40,40,621
2010,"Italy","Piemonte","Az. Ss.Antonio E Biagio E C.Arrigo","Alessandria",0.0,"Azienda Ospedaliera","Lungodegenza",13,0,0,0,13
2010,"Italy","Piemonte","Az. Ss.Antonio E Biagio E C.Arrigo","Alessandria",0.0,"Azienda Ospedaliera","Riabilitazione",94,0,6,0,100
2010,"Italy","Piemonte","Ospedale Mauriziano  Umberto I - Torino","Torino",0.0,"Azienda Ospedaliera","Acuti",364,0,25,17,406
2010,"Italy","Piemonte","Ospedale Mauriziano  Umberto I - Torino","Torino",0.0,"Azienda Ospedaliera","Lungodegenza",18,0,0,0,18
2010,"Italy","Piemonte","Ospedale Mauriziano  Umberto I - Torino","Torino",0.0,"Azienda Ospedaliera","Riabilitazione",8,0,4,0,12
2010,"Italy","Piemonte","Centro Auxologico Italiano","Oggebbio",3.2,"Irccs Privato","Acuti",68,0,4,0,72
2010,"Italy","Piemonte","Centro Auxologico Italiano","Oggebbio",3.2,"Irccs Privato","Riabilitazione",277,0,5,0,282
2010,"Italy","Piemonte","Fondazione Salvatore Maugeri","Veruno",3.2,"Irccs Privato","Riabilitazione",315,0,0,0,315
2010,"Italy","Valle D`Aosta","Ospedale Regionale Umberto Parini","Aosta",1.0,"Ospedale A Gestione Diretta","Acuti",396,2,33,18,449
2010,"Italy","Valle D`Aosta","Ospedale Regionale Umberto Parini","Aosta",1.0,"Ospedale A Gestione Diretta","Lungodegenza",3,0,0,0,3
2010,"Italy","Valle D`Aosta","Isav Spa","Saint-Pierre",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",80,0,0,0,80
2010,"Italy","Lombardia","Cliniche Gavazzeni Spa - Bergamo","Bergamo",5.1,"Casa Di Cura Privata Accreditata","Acuti",141,0,3,10,154
2010,"Italy","Lombardia","Cliniche Gavazzeni Spa - Bergamo","Bergamo",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",23,0,0,0,23
2010,"Italy","Lombardia","Casa Di Cura Beato Palazzolo - Bergamo","Bergamo",5.1,"Casa Di Cura Privata Accreditata","Acuti",62,0,2,8,72
2010,"Italy","Lombardia","Casa Di Cura Beato Palazzolo - Bergamo","Bergamo",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",39,0,1,0,40
2010,"Italy","Lombardia","Casa Di Cura Beato Palazzolo - Bergamo","Bergamo",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",34,0,2,0,36
2010,"Italy","Lombardia","Casa Di Cura Castelli - Bergamo","Bergamo",5.1,"Casa Di Cura Privata Accreditata","Acuti",80,0,2,8,90
2010,"Italy","Lombardia","Casa Di Cura S. Francesco - Bergamo","Bergamo",5.1,"Casa Di Cura Privata Accreditata","Acuti",94,0,1,3,98
2010,"Italy","Lombardia","Casa Di Cura S. Francesco - Bergamo","Bergamo",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",17,0,0,0,17
2010,"Italy","Lombardia","Casa Di Cura S. Francesco - Bergamo","Bergamo",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",33,0,1,0,34
2010,"Italy","Lombardia","Policlinico San Marco S.R.L.-Osio Sotto","Osio Sotto",5.1,"Casa Di Cura Privata Accreditata","Acuti",193,0,17,23,233
2010,"Italy","Lombardia","Policlinico San Marco S.R.L.-Osio Sotto","Osio Sotto",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",72,0,0,0,72
2010,"Italy","Lombardia","Policlinico San Pietro S.P.A.","Ponte San Pietro",5.1,"Casa Di Cura Privata Accreditata","Acuti",220,0,17,28,265
2010,"Italy","Lombardia","Policlinico San Pietro S.P.A.","Ponte San Pietro",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",5,0,0,0,5
2010,"Italy","Lombardia","Policlinico San Pietro S.P.A.","Ponte San Pietro",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",40,0,0,0,40
2010,"Italy","Lombardia","Casa Di Cura Quarenghi - S.Pellegrino T.","San Pellegrino Terme",5.1,"Casa Di Cura Privata Accreditata","Acuti",10,0,0,0,10
2010,"Italy","Lombardia","Casa Di Cura Quarenghi - S.Pellegrino T.","San Pellegrino Terme",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",2,0,0,0,2
2010,"Italy","Lombardia","Casa Di Cura Quarenghi - S.Pellegrino T.","San Pellegrino Terme",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",84,0,2,0,86
2010,"Italy","Lombardia","Ospedale S.Isidoro - Trescore B.","Trescore Balneario",5.1,"Casa Di Cura Privata Accreditata","Acuti",15,0,0,0,15
2010,"Italy","Lombardia","Ospedale S.Isidoro - Trescore B.","Trescore Balneario",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",15,0,0,0,15
2010,"Italy","Lombardia","Ospedale S.Isidoro - Trescore B.","Trescore Balneario",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",57,0,4,0,61
2010,"Italy","Lombardia","Nephrocare S.P.A.","Seriate",5.1,"Casa Di Cura Privata Accreditata","Acuti",10,0,0,0,10
2010,"Italy","Lombardia","Istituto Clinico Habilita","Ciserano",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",14,0,0,0,14
2010,"Italy","Lombardia","Istituto Clinico Habilita","Ciserano",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",28,0,10,0,38
2010,"Italy","Lombardia","Ferb - Onlus Centro Alzheimer-Gazzaniga","Gazzaniga",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",22,0,0,0,22
2010,"Italy","Lombardia","Casa Di Cura San Donato Srl","Osio Sotto",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",5,0,0,0,5
2010,"Italy","Lombardia","Casa Di Cura San Donato Srl","Osio Sotto",5.1,"Casa Di Cura Privata Accreditata","Riabilitazione",6,0,0,0,6
2010,"Italy","Lombardia","Habilita Istituto Clinico Ospedale Di Sa","Sarnico",5.1,"Casa Di Cura Privata Accreditata","Acuti",24,0,0,0,24
2010,"Italy","Lombardia","Habilita Istituto Clinico Ospedale Di Sa","Sarnico",5.1,"Casa Di Cura Privata Accreditata","Lungodegenza",25,0,0,0,25
